epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.3204,1.20424,1.35357,1.09882,0.93931,0.98104,0.98423,0.63054,1.22234,0.55651,1.09473,0.000207307,0.000207307,0.000207307
2,64.8312,0.97392,0.61362,1.01895,0.94718,0.94883,0.9708,0.55964,1.44711,0.62538,1.28304,0.000411526,0.000411526,0.000411526
3,89.954,0.92331,0.55633,1.00339,0.98012,0.98736,0.98921,0.57073,1.42693,0.54564,1.26795,0.000611619,0.000611619,0.000611619
4,115.031,0.91549,0.51691,1.0099,0.96613,0.98751,0.98506,0.76545,0.84729,0.40638,1.01053,0.000606437,0.000606437,0.000606437
5,140.335,0.87767,0.49176,0.9853,0.97865,0.97561,0.9872,0.71645,0.99016,0.45075,1.06939,0.00060025,0.00060025,0.00060025
6,165.505,0.84848,0.46529,0.97184,0.95968,0.98947,0.98762,0.69539,1.11956,0.44916,1.12334,0.000594062,0.000594062,0.000594062
7,190.723,0.83657,0.45353,0.97532,0.9307,0.96736,0.97819,0.64365,1.21318,0.47919,1.20193,0.000587875,0.000587875,0.000587875
8,215.883,0.81107,0.44144,0.96324,0.9784,0.9881,0.98969,0.45228,2.00052,0.62284,1.81941,0.000581687,0.000581687,0.000581687
9,241.583,0.8312,0.43664,0.96953,0.98079,0.98982,0.98489,0.6851,1.09181,0.40039,1.1303,0.0005755,0.0005755,0.0005755
10,266.852,0.79656,0.4206,0.95839,0.92033,0.93827,0.97495,0.72545,0.96089,0.50312,1.06617,0.000569313,0.000569313,0.000569313
11,292.122,0.78869,0.41135,0.95643,0.95394,0.95772,0.97242,0.75088,0.87652,0.42258,1.0191,0.000563125,0.000563125,0.000563125
12,317.285,0.79324,0.4057,0.95837,0.97879,0.96718,0.98474,0.6917,1.0846,0.42474,1.10619,0.000556938,0.000556938,0.000556938
13,342.375,0.77168,0.39878,0.95102,0.97834,0.98681,0.98911,0.70542,1.06501,0.3971,1.11385,0.00055075,0.00055075,0.00055075
14,367.496,0.73947,0.37663,0.93678,0.97731,0.98969,0.98751,0.71569,1.01568,0.36685,1.0914,0.000544563,0.000544563,0.000544563
15,392.538,0.74368,0.377,0.93724,0.98347,0.98288,0.98866,0.71017,1.02261,0.37968,1.09131,0.000538375,0.000538375,0.000538375
16,417.678,0.74363,0.3775,0.93639,0.98044,0.98763,0.98836,0.75273,0.92658,0.3718,1.05076,0.000532187,0.000532187,0.000532187
17,442.827,0.74308,0.37074,0.9328,0.98063,0.98557,0.98804,0.7673,0.86133,0.36741,1.01261,0.000526,0.000526,0.000526
18,468.598,0.73342,0.36276,0.93668,0.98284,0.99231,0.9866,0.76124,0.88444,0.3488,1.02139,0.000519812,0.000519812,0.000519812
19,493.789,0.73082,0.36108,0.93085,0.95639,0.97571,0.98691,0.74363,0.9504,0.38871,1.05739,0.000513625,0.000513625,0.000513625
